T26,Population employed in research and development (R&D),,,,,
616,Poland,2005,R & D personnel: Researchers - total (number in full-time equivalent),"62,162",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2005,R & D personnel: Researchers - women (number in full-time equivalent),"24,521",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2005,R & D personnel: Technicians - total (number in full-time equivalent),"8,947",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,652",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2010,R & D personnel: Total (number in full-time equivalent),"81,843",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2010,R & D personnel: Researchers - total (number in full-time equivalent),"64,511",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2010,R & D personnel: Researchers - women (number in full-time equivalent),"24,745",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2010,R & D personnel: Technicians - total (number in full-time equivalent),"10,939",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,393",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2015,R & D personnel: Total (number in full-time equivalent),"109,249",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2015,R & D personnel: Researchers - total (number in full-time equivalent),"82,594",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2015,R & D personnel: Researchers - women (number in full-time equivalent),"29,190",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2015,R & D personnel: Technicians - total (number in full-time equivalent),"16,872",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
616,Poland,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,783",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2005,R & D personnel: Total (number in full-time equivalent),"25,728",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2005,R & D personnel: Researchers - total (number in full-time equivalent),"21,126",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2005,R & D personnel: Researchers - women (number in full-time equivalent),"9,530",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,918",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2005,R & D personnel: Technicians - women (number in full-time equivalent),"1,177",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,683",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),954,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2010,R & D personnel: Total (number in full-time equivalent),"47,616",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2010,R & D personnel: Researchers - total (number in full-time equivalent),"41,523",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2010,R & D personnel: Researchers - women (number in full-time equivalent),"18,175",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2010,R & D personnel: Technicians - total (number in full-time equivalent),"4,004",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,481",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,088",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),894,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2015,R & D personnel: Total (number in full-time equivalent),"47,999",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2015,R & D personnel: Researchers - total (number in full-time equivalent),"38,672",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2015,R & D personnel: Researchers - women (number in full-time equivalent),"16,769",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2015,R & D personnel: Technicians - total (number in full-time equivalent),"7,805",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2015,R & D personnel: Technicians - women (number in full-time equivalent),"3,391",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,523",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),790,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2016,R & D personnel: Total (number in full-time equivalent),"50,912",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
620,Portugal,2016,R & D personnel: Researchers - total (number in full-time equivalent),"40,746",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
630,Puerto Rico,2009,R & D personnel: Total (number in full-time equivalent),"5,776",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
630,Puerto Rico,2009,R & D personnel: Researchers - total (number in full-time equivalent),"2,986",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
630,Puerto Rico,2009,R & D personnel: Technicians - total (number in full-time equivalent),"2,790",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
630,Puerto Rico,2015,R & D personnel: Total (number in full-time equivalent),"5,500",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
630,Puerto Rico,2015,R & D personnel: Researchers - total (number in full-time equivalent),"2,070",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
630,Puerto Rico,2015,R & D personnel: Technicians - total (number in full-time equivalent),"3,040",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
630,Puerto Rico,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),390,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding Higher Education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
634,Qatar,2015,R & D personnel: Total (number in full-time equivalent),"3,016",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
634,Qatar,2015,R & D personnel: Researchers - total (number in full-time equivalent),"1,498",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
634,Qatar,2015,R & D personnel: Researchers - women (number in full-time equivalent),451,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
634,Qatar,2015,R & D personnel: Technicians - total (number in full-time equivalent),"1,002",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
634,Qatar,2015,R & D personnel: Technicians - women (number in full-time equivalent),424,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
634,Qatar,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),516,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
634,Qatar,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2005,R & D personnel: Total (number in full-time equivalent),"215,345",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2005,R & D personnel: Researchers - total (number in full-time equivalent),"179,812",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2005,R & D personnel: Technicians - total (number in full-time equivalent),"26,272",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,261",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2010,R & D personnel: Total (number in full-time equivalent),"335,228",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2010,R & D personnel: Researchers - total (number in full-time equivalent),"264,118",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2010,R & D personnel: Technicians - total (number in full-time equivalent),"47,557",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"23,554",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2016,R & D personnel: Total (number in full-time equivalent),"447,408",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2016,R & D personnel: Researchers - total (number in full-time equivalent),"361,292",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2016,R & D personnel: Technicians - total (number in full-time equivalent),"62,598",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
410,Republic of Korea,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"23,519",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2005,R & D personnel: Total (number in full-time equivalent),"4,672",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2005,R & D personnel: Researchers - total (number in full-time equivalent),"2,583",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2005,R & D personnel: Researchers - women (number in full-time equivalent),"1,120",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2005,R & D personnel: Technicians - total (number in full-time equivalent),334,Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,755",Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2010,R & D personnel: Total (number in full-time equivalent),"4,316",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2010,R & D personnel: Researchers - total (number in full-time equivalent),"2,709",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,258",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2010,R & D personnel: Technicians - total (number in full-time equivalent),287,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2010,R & D personnel: Technicians - women (number in full-time equivalent),202,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,320",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),773,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2016,R & D personnel: Total (number in full-time equivalent),"3,939",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2016,R & D personnel: Researchers - total (number in full-time equivalent),"2,577",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2016,R & D personnel: Researchers - women (number in full-time equivalent),"1,280",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2016,R & D personnel: Technicians - total (number in full-time equivalent),261,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2016,R & D personnel: Technicians - women (number in full-time equivalent),166,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,101",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
498,Republic of Moldova,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),573,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2005,R & D personnel: Total (number in full-time equivalent),"33,222",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2005,R & D personnel: Researchers - total (number in full-time equivalent),"22,958",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2005,R & D personnel: Researchers - women (number in full-time equivalent),"10,617",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2005,R & D personnel: Technicians - total (number in full-time equivalent),"4,998",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2005,R & D personnel: Technicians - women (number in full-time equivalent),"2,859",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,266",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,414",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2010,R & D personnel: Total (number in full-time equivalent),"26,171",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2010,R & D personnel: Researchers - total (number in full-time equivalent),"19,780",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2010,R & D personnel: Researchers - women (number in full-time equivalent),"8,797",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2010,R & D personnel: Technicians - total (number in full-time equivalent),"3,139",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,695",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,252",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,424",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2015,R & D personnel: Total (number in full-time equivalent),"31,331",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2015,R & D personnel: Researchers - total (number in full-time equivalent),"17,459",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2015,R & D personnel: Researchers - women (number in full-time equivalent),"7,898",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2015,R & D personnel: Technicians - total (number in full-time equivalent),"5,328",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2015,R & D personnel: Technicians - women (number in full-time equivalent),"2,433",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"8,544",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,675",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2016,R & D personnel: Total (number in full-time equivalent),"32,232",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
642,Romania,2016,R & D personnel: Researchers - total (number in full-time equivalent),"18,046",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2005,R & D personnel: Total (number in full-time equivalent),"919,716",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2005,R & D personnel: Researchers - total (number in full-time equivalent),"464,577",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2005,R & D personnel: Technicians - total (number in full-time equivalent),"74,253",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"380,886",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2010,R & D personnel: Total (number in full-time equivalent),"839,992",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2010,R & D personnel: Researchers - total (number in full-time equivalent),"442,071",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2010,R & D personnel: Technicians - total (number in full-time equivalent),"68,042",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"329,879",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2016,R & D personnel: Total (number in full-time equivalent),"802,317",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2016,R & D personnel: Researchers - total (number in full-time equivalent),"428,884",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2016,R & D personnel: Technicians - total (number in full-time equivalent),"66,957",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
643,Russian Federation,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"306,475",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
646,Rwanda,2009,R & D personnel: Total (number in full-time equivalent),"1,001",Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
646,Rwanda,2009,R & D personnel: Researchers - total (number in full-time equivalent),564,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
646,Rwanda,2009,R & D personnel: Researchers - women (number in full-time equivalent),123,Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
646,Rwanda,2009,R & D personnel: Technicians - total (number in full-time equivalent),8,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
646,Rwanda,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),429,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
654,Saint Helena,2000,R & D personnel: Total (number in full-time equivalent),33,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
654,Saint Helena,2000,R & D personnel: Researchers - total (number in full-time equivalent),2,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
654,Saint Helena,2000,R & D personnel: Technicians - total (number in full-time equivalent),8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
654,Saint Helena,2000,R & D personnel: Technicians - women (number in full-time equivalent),4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
