T04,International migrants and refugees,,,,,
710,South Africa,2010,Total refugees and people in refugee-like situations (number),"57,899",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2010,"Asylum seekers, including pending cases (number)","171,702",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2010,Other of concern to UNHCR (number),134,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2010,Total population of concern to UNHCR (number),"229,735",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2015,International migrant stock: Both sexes (number),"3,816,696",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2015,International migrant stock: Both sexes (% total population),6.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2015,International migrant stock: Male (% total Population),7.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2015,International migrant stock: Female (% total Population),6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2015,Total refugees and people in refugee-like situations (number),"114,512",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2015,"Asylum seekers, including pending cases (number)","798,080",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2015,Total population of concern to UNHCR (number),"912,592",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2017,International migrant stock: Both sexes (number),"4,036,696",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2017,International migrant stock: Both sexes (% total population),7.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2017,International migrant stock: Male (% total Population),8.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2017,International migrant stock: Female (% total Population),6.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
710,South Africa,2017,Total refugees and people in refugee-like situations (number),"92,296",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2017,"Asylum seekers, including pending cases (number)","215,860","An adjustment to 2015 and 2016 end of year figures, in particular for the number of asylum applications pending on appeal and review, has resulted in a substantially lower figure for numbers of asylum seekers reported in South Africa.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
710,South Africa,2017,Total population of concern to UNHCR (number),"308,156",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2010,International migrant stock: Both sexes (number),"257,905",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2010,International migrant stock: Both sexes (% total population),2.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2010,International migrant stock: Male (% total Population),2.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2010,International migrant stock: Female (% total Population),2.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2015,International migrant stock: Both sexes (number),"844,122",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2015,International migrant stock: Both sexes (% total population),7.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2015,International migrant stock: Male (% total Population),7.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2015,International migrant stock: Female (% total Population),7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2015,Total refugees and people in refugee-like situations (number),"265,887",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2015,"Asylum seekers, including pending cases (number)",632,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2015,Other of concern to UNHCR (number),"1,792,014","Internally displaced persons (IDP) figure in South Sudan includes 105,000 people who are in an IDP-like situation.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2015,Total population of concern to UNHCR (number),"2,058,533",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2017,International migrant stock: Both sexes (number),"845,239",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2017,International migrant stock: Both sexes (% total population),6.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2017,International migrant stock: Male (% total Population),6.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2017,International migrant stock: Female (% total Population),6.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
728,South Sudan,2017,Total refugees and people in refugee-like situations (number),"274,920",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2017,"Asylum seekers, including pending cases (number)","2,400",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2017,Other of concern to UNHCR (number),"1,944,735",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
728,South Sudan,2017,Total population of concern to UNHCR (number),"2,222,055",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2005,International migrant stock: Both sexes (number),"4,107,226","Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2005,International migrant stock: Both sexes (% total population),9.3,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2005,International migrant stock: Male (% total Population),9.9,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2005,International migrant stock: Female (% total Population),8.8,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2005,Total refugees and people in refugee-like situations (number),"5,374",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2005,Other of concern to UNHCR (number),27,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2005,Total population of concern to UNHCR (number),"5,401",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2010,International migrant stock: Both sexes (number),"6,280,065","Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2010,International migrant stock: Both sexes (% total population),13.4,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2010,International migrant stock: Male (% total Population),14,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2010,International migrant stock: Female (% total Population),12.9,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2010,Total refugees and people in refugee-like situations (number),"3,820",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2010,"Asylum seekers, including pending cases (number)","2,712",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2010,Other of concern to UNHCR (number),31,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2010,Total population of concern to UNHCR (number),"6,563",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2015,International migrant stock: Both sexes (number),"5,891,208","Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2015,International migrant stock: Both sexes (% total population),12.7,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2015,International migrant stock: Male (% total Population),12.7,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2015,International migrant stock: Female (% total Population),12.7,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2015,Total refugees and people in refugee-like situations (number),"5,798",Data relates to the end of 2014.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2015,"Asylum seekers, including pending cases (number)","11,020",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2015,Other of concern to UNHCR (number),440,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2015,Total population of concern to UNHCR (number),"17,258",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2017,International migrant stock: Both sexes (number),"5,947,106","Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2017,International migrant stock: Both sexes (% total population),12.8,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2017,International migrant stock: Male (% total Population),12.7,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2017,International migrant stock: Female (% total Population),12.9,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
724,Spain,2017,Total refugees and people in refugee-like situations (number),"15,557",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2017,"Asylum seekers, including pending cases (number)","20,360",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2017,Other of concern to UNHCR (number),485,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
724,Spain,2017,Total population of concern to UNHCR (number),"36,402",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2005,International migrant stock: Both sexes (number),"39,526",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2005,International migrant stock: Both sexes (% total population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2005,International migrant stock: Male (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2005,International migrant stock: Female (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2005,Total refugees and people in refugee-like situations (number),106,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2005,"Asylum seekers, including pending cases (number)",121,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2005,Other of concern to UNHCR (number),"351,884",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2005,Total population of concern to UNHCR (number),"352,111",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2010,International migrant stock: Both sexes (number),"38,959",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2010,International migrant stock: Both sexes (% total population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2010,International migrant stock: Male (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2010,International migrant stock: Female (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2010,Total refugees and people in refugee-like situations (number),223,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2010,"Asylum seekers, including pending cases (number)",138,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2010,Other of concern to UNHCR (number),"434,903",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2010,Total population of concern to UNHCR (number),"435,264",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2015,International migrant stock: Both sexes (number),"39,706",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2015,International migrant stock: Both sexes (% total population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2015,International migrant stock: Male (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2015,International migrant stock: Female (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2015,Total refugees and people in refugee-like situations (number),848,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2015,"Asylum seekers, including pending cases (number)",461,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2015,Other of concern to UNHCR (number),"50,499","The statistics of the remaining IDPs, while provided by the Government authorities at the district level, are being reviewed by the central authorities. Once this review has been concluded, the statistics will be changed accordingly.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2015,Total population of concern to UNHCR (number),"51,808",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2017,International migrant stock: Both sexes (number),"40,018",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2017,International migrant stock: Both sexes (% total population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2017,International migrant stock: Male (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2017,International migrant stock: Female (% total Population),0.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
144,Sri Lanka,2017,Total refugees and people in refugee-like situations (number),651,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2017,"Asylum seekers, including pending cases (number)",634,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2017,Other of concern to UNHCR (number),"40,445",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
144,Sri Lanka,2017,Total population of concern to UNHCR (number),"41,730",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
275,State of Palestine,2005,International migrant stock: Both sexes (number),"266,617",Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2005,International migrant stock: Both sexes (% total population),7.5,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2005,International migrant stock: Male (% total Population),6.6,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2005,International migrant stock: Female (% total Population),8.3,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2010,International migrant stock: Both sexes (number),"258,032",Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2010,International migrant stock: Both sexes (% total population),6.3,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2010,International migrant stock: Male (% total Population),5.6,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2010,International migrant stock: Female (% total Population),7.2,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2015,International migrant stock: Both sexes (number),"255,507",Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2015,International migrant stock: Both sexes (% total population),5.5,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2015,International migrant stock: Male (% total Population),4.8,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2015,International migrant stock: Female (% total Population),6.2,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2015,Other of concern to UNHCR (number),3,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
275,State of Palestine,2015,Total population of concern to UNHCR (number),3,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
275,State of Palestine,2017,International migrant stock: Both sexes (number),"253,735",Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2017,International migrant stock: Both sexes (% total population),5.2,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2017,International migrant stock: Male (% total Population),4.5,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
275,State of Palestine,2017,International migrant stock: Female (% total Population),5.8,Including East Jerusalem.;Refugees are not part of the foreign-born migrant stock in the State of Palestine.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2005,Total refugees and people in refugee-like situations (number),"147,256",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2005,"Asylum seekers, including pending cases (number)","4,425",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2005,Other of concern to UNHCR (number),"878,067",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2005,Total population of concern to UNHCR (number),"1,029,748",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2010,International migrant stock: Both sexes (number),"578,363",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2010,International migrant stock: Both sexes (% total population),1.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2010,International migrant stock: Male (% total Population),1.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2010,International migrant stock: Female (% total Population),1.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2010,Total refugees and people in refugee-like situations (number),"178,308",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2010,"Asylum seekers, including pending cases (number)","6,046",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2010,Other of concern to UNHCR (number),"1,767,167",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2010,Total population of concern to UNHCR (number),"1,951,521",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2015,International migrant stock: Both sexes (number),"623,878",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2015,International migrant stock: Both sexes (% total population),1.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2015,International migrant stock: Male (% total Population),1.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2015,International migrant stock: Female (% total Population),1.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2015,Total refugees and people in refugee-like situations (number),"356,191",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2015,"Asylum seekers, including pending cases (number)","11,448",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2015,Other of concern to UNHCR (number),"2,400,270","Internally displaced persons (IDP) figure in Sudan includes 77,300 people who are in an IDP-like situation.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2015,Total population of concern to UNHCR (number),"2,767,909",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2017,International migrant stock: Both sexes (number),"735,821",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2017,International migrant stock: Both sexes (% total population),1.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2017,International migrant stock: Male (% total Population),1.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2017,International migrant stock: Female (% total Population),1.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
729,Sudan,2017,Total refugees and people in refugee-like situations (number),"538,797",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2017,"Asylum seekers, including pending cases (number)","17,839",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2017,Other of concern to UNHCR (number),"2,311,162",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
729,Sudan,2017,Total population of concern to UNHCR (number),"2,867,798",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2005,International migrant stock: Both sexes (number),"33,664",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2005,International migrant stock: Both sexes (% total population),6.7,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2005,International migrant stock: Male (% total Population),7.3,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2005,International migrant stock: Female (% total Population),6.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2010,International migrant stock: Both sexes (number),"39,713",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2010,International migrant stock: Both sexes (% total population),7.5,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2010,International migrant stock: Male (% total Population),8.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2010,International migrant stock: Female (% total Population),6.9,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2010,Total refugees and people in refugee-like situations (number),1,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2010,"Asylum seekers, including pending cases (number)",7,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2010,Total population of concern to UNHCR (number),8,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
