[T12.],Intentional homicides and other crimes,,,,,
792,Turkey,2005,"Percentage of male and female intentional homicide victims, Male",8.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2005,"Percentage of male and female intentional homicide victims, Female",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2005,"Assault rate per 100,000 population",155.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2005,"Kidnapping at the national level, rate per 100,000",12.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2005,"Theft at the national level, rate per 100,000 population",152.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2005,"Robbery at the national level, rate per 100,000 population",21.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2005,"Total Sexual Violence at the national level, rate per 100,000",4.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Intentional homicide rates per 100,000",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Percentage of male and female intentional homicide victims, Male",6.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Assault rate per 100,000 population",305.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Kidnapping at the national level, rate per 100,000",18.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Theft at the national level, rate per 100,000 population",248.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Robbery at the national level, rate per 100,000 population",11.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2010,"Total Sexual Violence at the national level, rate per 100,000",5.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Intentional homicide rates per 100,000",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Percentage of male and female intentional homicide victims, Male",7.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Percentage of male and female intentional homicide victims, Female",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Assault rate per 100,000 population",351.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Kidnapping at the national level, rate per 100,000",18.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Theft at the national level, rate per 100,000 population",280.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Robbery at the national level, rate per 100,000 population",13.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2012,"Total Sexual Violence at the national level, rate per 100,000",7.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2016,"Assault rate per 100,000 population",88.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2016,"Kidnapping at the national level, rate per 100,000",33.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2016,"Theft at the national level, rate per 100,000 population",214.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
792,Turkey,2016,"Robbery at the national level, rate per 100,000 population",34.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2004,"Intentional homicide rates per 100,000",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2004,"Kidnapping at the national level, rate per 100,000",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2004,"Robbery at the national level, rate per 100,000 population",3.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2005,"Intentional homicide rates per 100,000",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2005,"Assault rate per 100,000 population",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2005,"Theft at the national level, rate per 100,000 population",35.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2005,"Robbery at the national level, rate per 100,000 population",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2006,"Intentional homicide rates per 100,000",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2006,"Percentage of male and female intentional homicide victims, Male",6.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2006,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2006,"Assault rate per 100,000 population",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2006,"Theft at the national level, rate per 100,000 population",29.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,Turkmenistan,2006,"Robbery at the national level, rate per 100,000 population",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
796,Turks and Caicos Islands,2005,"Intentional homicide rates per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
796,Turks and Caicos Islands,2009,"Intentional homicide rates per 100,000",6.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
796,Turks and Caicos Islands,2014,"Intentional homicide rates per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
798,Tuvalu,2005,"Intentional homicide rates per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
798,Tuvalu,2010,"Intentional homicide rates per 100,000",9.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
798,Tuvalu,2012,"Intentional homicide rates per 100,000",18.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2005,"Intentional homicide rates per 100,000",8.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2005,"Assault rate per 100,000 population",122.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2005,"Theft at the national level, rate per 100,000 population",192.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2005,"Robbery at the national level, rate per 100,000 population",25.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2005,"Total Sexual Violence at the national level, rate per 100,000",50.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Intentional homicide rates per 100,000",9.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Percentage of male and female intentional homicide victims, Male",15.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Percentage of male and female intentional homicide victims, Female",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Assault rate per 100,000 population",67.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Kidnapping at the national level, rate per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Theft at the national level, rate per 100,000 population",69.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Robbery at the national level, rate per 100,000 population",17.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2010,"Total Sexual Violence at the national level, rate per 100,000",26.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Intentional homicide rates per 100,000",11.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Percentage of male and female intentional homicide victims, Male",18.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Percentage of male and female intentional homicide victims, Female",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Assault rate per 100,000 population",37.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Kidnapping at the national level, rate per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Theft at the national level, rate per 100,000 population",43.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Robbery at the national level, rate per 100,000 population",9.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
800,Uganda,2014,"Total Sexual Violence at the national level, rate per 100,000",36.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Intentional homicide rates per 100,000",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Percentage of male and female intentional homicide victims, Male",9.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Percentage of male and female intentional homicide victims, Female",3.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Assault rate per 100,000 population",14.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Kidnapping at the national level, rate per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Theft at the national level, rate per 100,000 population",398.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Robbery at the national level, rate per 100,000 population",100.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2005,"Total Sexual Violence at the national level, rate per 100,000",4.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Intentional homicide rates per 100,000",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Percentage of male and female intentional homicide victims, Male",6.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Percentage of male and female intentional homicide victims, Female",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Assault rate per 100,000 population",8.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Kidnapping at the national level, rate per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Theft at the national level, rate per 100,000 population",556.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Robbery at the national level, rate per 100,000 population",50.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2010,"Total Sexual Violence at the national level, rate per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
804,Ukraine,2014,"Intentional homicide rates per 100,000",6.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2004,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2004,"Kidnapping at the national level, rate per 100,000",12.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2004,"Theft at the national level, rate per 100,000 population",270.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2004,"Robbery at the national level, rate per 100,000 population",10.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2005,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2005,"Assault rate per 100,000 population",15.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2005,"Kidnapping at the national level, rate per 100,000",18.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2005,"Robbery at the national level, rate per 100,000 population",9.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2006,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2006,"Assault rate per 100,000 population",14.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2006,"Kidnapping at the national level, rate per 100,000",18.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2006,"Robbery at the national level, rate per 100,000 population",10.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2010,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2010,"Percentage of male and female intentional homicide victims, Male",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2010,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Percentage of male and female intentional homicide victims, Male",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Percentage of male and female intentional homicide victims, Female",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Assault rate per 100,000 population",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Kidnapping at the national level, rate per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Theft at the national level, rate per 100,000 population",67.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Robbery at the national level, rate per 100,000 population",9.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2015,"Total Sexual Violence at the national level, rate per 100,000",4.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2016,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2016,"Assault rate per 100,000 population",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2016,"Kidnapping at the national level, rate per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2016,"Theft at the national level, rate per 100,000 population",51.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
784,United Arab Emirates,2016,"Robbery at the national level, rate per 100,000 population",11.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Percentage of male and female intentional homicide victims, Male",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Assault rate per 100,000 population","1,010.6",England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Kidnapping at the national level, rate per 100,000",5.2,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Theft at the national level, rate per 100,000 population","3,368.8",England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Robbery at the national level, rate per 100,000 population",183.3,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2005,"Total Sexual Violence at the national level, rate per 100,000",88.0,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Percentage of male and female intentional homicide victims, Male",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Assault rate per 100,000 population",658.8,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Kidnapping at the national level, rate per 100,000",3.1,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Theft at the national level, rate per 100,000 population","2,654.9",England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Robbery at the national level, rate per 100,000 population",136.8,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2010,"Total Sexual Violence at the national level, rate per 100,000",81.5,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Percentage of male and female intentional homicide victims, Male",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Assault rate per 100,000 population",649.3,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Kidnapping at the national level, rate per 100,000",3.8,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Theft at the national level, rate per 100,000 population","2,208.6",England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Robbery at the national level, rate per 100,000 population",87.5,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2014,"Total Sexual Violence at the national level, rate per 100,000",137.0,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2016,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2016,"Percentage of male and female intentional homicide victims, Male",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2016,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2016,"Assault rate per 100,000 population",798.4,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2016,"Kidnapping at the national level, rate per 100,000",6.6,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2016,"Theft at the national level, rate per 100,000 population","2,283.0",England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
826,United Kingdom,2016,"Robbery at the national level, rate per 100,000 population",89.8,England and Wales only.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2004,"Intentional homicide rates per 100,000",7.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2010,"Intentional homicide rates per 100,000",8.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2010,"Percentage of male and female intentional homicide victims, Male",14.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2010,"Percentage of male and female intentional homicide victims, Female",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2010,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2010,"Robbery at the national level, rate per 100,000 population",25.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2010,"Total Sexual Violence at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Intentional homicide rates per 100,000",7.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Percentage of male and female intentional homicide victims, Male",11.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Percentage of male and female intentional homicide victims, Female",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Assault rate per 100,000 population",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Theft at the national level, rate per 100,000 population",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Robbery at the national level, rate per 100,000 population",17.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
834,United Rep. of Tanzania,2015,"Total Sexual Violence at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2005,"Intentional homicide rates per 100,000",5.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2005,"Percentage of male and female intentional homicide victims, Male",9.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2005,"Percentage of male and female intentional homicide victims, Female",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2005,"Assault rate per 100,000 population",292.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2005,"Theft at the national level, rate per 100,000 population","2,298.5",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2005,"Robbery at the national level, rate per 100,000 population",141.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2010,"Intentional homicide rates per 100,000",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
840,United States of America,2010,"Percentage of male and female intentional homicide victims, Male",7.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
