[T13.],Gross domestic product and gross domestic product per capita,,,,,
729,Sudan,2016,GDP real rates of growth (percent),3.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
729,Sudan,2017,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1985,GDP in current prices (millions of US dollars),"6,624",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1995,GDP in current prices (millions of US dollars),"12,847",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2005,GDP in current prices (millions of US dollars),"35,183",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2010,GDP in current prices (millions of US dollars),"69,665",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1985,GDP per capita (US dollars),292,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1995,GDP per capita (US dollars),435,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2005,GDP per capita (US dollars),902,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2010,GDP per capita (US dollars),"1,567",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1985,GDP in constant 2010 prices (millions of US dollars),"16,497",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1995,GDP in constant 2010 prices (millions of US dollars),"26,296",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2005,GDP in constant 2010 prices (millions of US dollars),"52,248",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2010,GDP in constant 2010 prices (millions of US dollars),"69,665",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1985,GDP real rates of growth (percent),5.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],1995,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2005,GDP real rates of growth (percent),9.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
736,Sudan [former],2010,GDP real rates of growth (percent),6.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1985,GDP in current prices (millions of US dollars),"1,196",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1995,GDP in current prices (millions of US dollars),844,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2005,GDP in current prices (millions of US dollars),"2,193",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2010,GDP in current prices (millions of US dollars),"4,368",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2015,GDP in current prices (millions of US dollars),"4,826",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2016,GDP in current prices (millions of US dollars),"3,278",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2017,GDP in current prices (millions of US dollars),"3,807",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1985,GDP per capita (US dollars),"3,221",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1995,GDP per capita (US dollars),"1,903",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2005,GDP per capita (US dollars),"4,395",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2010,GDP per capita (US dollars),"8,303",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2015,GDP per capita (US dollars),"8,725",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2016,GDP per capita (US dollars),"5,871",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2017,GDP per capita (US dollars),"6,757",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1985,GDP in constant 2010 prices (millions of US dollars),"2,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1995,GDP in constant 2010 prices (millions of US dollars),"2,478",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2005,GDP in constant 2010 prices (millions of US dollars),"3,483",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2010,GDP in constant 2010 prices (millions of US dollars),"4,368",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2015,GDP in constant 2010 prices (millions of US dollars),"4,773",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2016,GDP in constant 2010 prices (millions of US dollars),"4,527",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2017,GDP in constant 2010 prices (millions of US dollars),"4,496",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1985,GDP real rates of growth (percent),14.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,1995,GDP real rates of growth (percent),0.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2005,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2010,GDP real rates of growth (percent),5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2015,GDP real rates of growth (percent),-2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2016,GDP real rates of growth (percent),-5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
740,Suriname,2017,GDP real rates of growth (percent),-0.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1985,GDP in current prices (millions of US dollars),"112,640",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1995,GDP in current prices (millions of US dollars),"264,346",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2005,GDP in current prices (millions of US dollars),"389,489",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2010,GDP in current prices (millions of US dollars),"488,909",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2015,GDP in current prices (millions of US dollars),"498,118",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2016,GDP in current prices (millions of US dollars),"512,205",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2017,GDP in current prices (millions of US dollars),"535,607",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1985,GDP per capita (US dollars),"13,477",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1995,GDP per capita (US dollars),"29,915",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2005,GDP per capita (US dollars),"43,092",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2010,GDP per capita (US dollars),"52,066",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2015,GDP per capita (US dollars),"51,018",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2016,GDP per capita (US dollars),"52,066",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2017,GDP per capita (US dollars),"54,043",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1985,GDP in constant 2010 prices (millions of US dollars),"285,573",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1995,GDP in constant 2010 prices (millions of US dollars),"333,105",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2005,GDP in constant 2010 prices (millions of US dollars),"451,913",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2010,GDP in constant 2010 prices (millions of US dollars),"488,909",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2015,GDP in constant 2010 prices (millions of US dollars),"543,061",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2016,GDP in constant 2010 prices (millions of US dollars),"557,637",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2017,GDP in constant 2010 prices (millions of US dollars),"569,373",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1985,GDP real rates of growth (percent),2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,1995,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2005,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2010,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2015,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2016,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
752,Sweden,2017,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1985,GDP in current prices (millions of US dollars),"107,765",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1995,GDP in current prices (millions of US dollars),"342,626",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2005,GDP in current prices (millions of US dollars),"408,697",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2010,GDP in current prices (millions of US dollars),"583,783",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2015,GDP in current prices (millions of US dollars),"679,832",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2016,GDP in current prices (millions of US dollars),"670,181",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2017,GDP in current prices (millions of US dollars),"678,938",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1985,GDP per capita (US dollars),"16,692",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1995,GDP per capita (US dollars),"48,817",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2005,GDP per capita (US dollars),"55,153",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2010,GDP per capita (US dollars),"74,538",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2015,GDP per capita (US dollars),"81,713",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2016,GDP per capita (US dollars),"79,767",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2017,GDP per capita (US dollars),"80,101",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1985,GDP in constant 2010 prices (millions of US dollars),"373,821",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1995,GDP in constant 2010 prices (millions of US dollars),"434,925",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2005,GDP in constant 2010 prices (millions of US dollars),"524,104",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2010,GDP in constant 2010 prices (millions of US dollars),"583,783",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2015,GDP in constant 2010 prices (millions of US dollars),"634,045",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2016,GDP in constant 2010 prices (millions of US dollars),"644,197",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2017,GDP in constant 2010 prices (millions of US dollars),"654,612",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1985,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,1995,GDP real rates of growth (percent),0.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2005,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2010,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2015,GDP real rates of growth (percent),1.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2016,GDP real rates of growth (percent),1.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
756,Switzerland,2017,GDP real rates of growth (percent),1.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1985,GDP in current prices (millions of US dollars),"10,050",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1995,GDP in current prices (millions of US dollars),"13,547",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2005,GDP in current prices (millions of US dollars),"28,397",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2010,GDP in current prices (millions of US dollars),"60,465",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2015,GDP in current prices (millions of US dollars),"19,090",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2016,GDP in current prices (millions of US dollars),"12,377",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2017,GDP in current prices (millions of US dollars),"15,183",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1985,GDP per capita (US dollars),944,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1995,GDP per capita (US dollars),944,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2005,GDP per capita (US dollars),"1,552",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2010,GDP per capita (US dollars),"2,877",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2015,GDP per capita (US dollars),"1,019",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2016,GDP per capita (US dollars),672,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2017,GDP per capita (US dollars),831,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1985,GDP in constant 2010 prices (millions of US dollars),"22,117",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1995,GDP in constant 2010 prices (millions of US dollars),"31,119",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2005,GDP in constant 2010 prices (millions of US dollars),"47,588",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2010,GDP in constant 2010 prices (millions of US dollars),"60,465",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2015,GDP in constant 2010 prices (millions of US dollars),"27,492",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2016,GDP in constant 2010 prices (millions of US dollars),"26,398",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2017,GDP in constant 2010 prices (millions of US dollars),"26,899",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1985,GDP real rates of growth (percent),6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,1995,GDP real rates of growth (percent),7.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2010,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2015,GDP real rates of growth (percent),-6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2016,GDP real rates of growth (percent),-4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
760,Syrian Arab Republic,2017,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,1995,GDP in current prices (millions of US dollars),"1,218",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2005,GDP in current prices (millions of US dollars),"2,312",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2010,GDP in current prices (millions of US dollars),"5,642",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2015,GDP in current prices (millions of US dollars),"7,855",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2016,GDP in current prices (millions of US dollars),"6,953",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2017,GDP in current prices (millions of US dollars),"7,146",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,1995,GDP per capita (US dollars),211,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2005,GDP per capita (US dollars),337,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2010,GDP per capita (US dollars),738,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2015,GDP per capita (US dollars),919,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2016,GDP per capita (US dollars),796,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2017,GDP per capita (US dollars),801,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,1995,GDP in constant 2010 prices (millions of US dollars),"2,597",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2005,GDP in constant 2010 prices (millions of US dollars),"4,126",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2010,GDP in constant 2010 prices (millions of US dollars),"5,642",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2015,GDP in constant 2010 prices (millions of US dollars),"7,547",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2016,GDP in constant 2010 prices (millions of US dollars),"8,072",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2017,GDP in constant 2010 prices (millions of US dollars),"8,643",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,1995,GDP real rates of growth (percent),-12.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2005,GDP real rates of growth (percent),6.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2010,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2015,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2016,GDP real rates of growth (percent),6.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
762,Tajikistan,2017,GDP real rates of growth (percent),7.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,1985,GDP in current prices (millions of US dollars),"40,313",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,1995,GDP in current prices (millions of US dollars),"169,279",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2005,GDP in current prices (millions of US dollars),"189,318",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2010,GDP in current prices (millions of US dollars),"341,105",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2015,GDP in current prices (millions of US dollars),"401,399",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2016,GDP in current prices (millions of US dollars),"411,755",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2017,GDP in current prices (millions of US dollars),"455,303",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
